MainKey,Rank,FilterIn,FilterOut,ActionVar,Likelihood,Prompt,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments,NoApplyForDT,AddResultInDT
660Duration,00039,\b(for)?\s?a?\s?few\sday(s)?\b,§2Days§,,,,2005,9999,03/02/2011,NA,,,,,
660Duration,00040,\bday(s)?\b,§2Days§,,,,2005,9999,25/03/2009,NA,,,,,
660Duration,00050,\bhour(s)?\b,§2Hours§,,,,2005,9999,25/03/2009,NA,,,,,
660Duration,00060,\bminute(s)?\b,§2Minutes§,,,,2005,9999,25/03/2009,NA,,,,,
670DurationAdd,0010,\bsince\s§(\d\d?)Years§,§$1Years§,,,,2005,9999,03/05/2011,NA,,,,,
RTPDuration,010,CLINICAL HISTORY OF,,,,,2005,9999,25/03/2009,NA,,,,,
RTPDuration,020,LONG HISTORY OF,§Chronic§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,030,PAST HISTORY OF,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,040,POST HISTORY OF,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,050,CLINICAL HX OF,,,,,2005,9999,25/03/2009,NA,,,,,
RTPDuration,060,LATE SEQUELAE,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,070,LATE EFFECTS,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,080,PAST HISTORY,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,090,SEQUELAE OF,§Sequel§,,,,2005,2022,25/03/2009,NA,01/11/2023,NA,Temporarily suspended while we work out the need for these flags,,
RTPDuration,100,PRIOR HX,,,,,2005,9999,25/03/2009,NA,,,,,
RTPDuration,110,PRIOR HISTORY,,,,,2005,9999,25/03/2009,NA,,,,,
